obs,period,date,year,month,height_live,epoch,locality,site,bar,station,treatment,strata,gear
1,16,1/30/2018,2018,1,85,3,BT,I,1,BTI1,control,N_NA,quadrat
2,18,12/8/2018,2018,12,15,3,BT,I,1,BTI1,control,N_NA,transect
3,16,1/30/2018,2018,1,31,3,BT,I,1,BTI1,control,N_NA,quadrat
4,16,1/30/2018,2018,1,64,3,BT,I,1,BTI1,control,N_NA,quadrat
5,16,1/30/2018,2018,1,68,3,BT,I,1,BTI1,control,N_NA,quadrat
6,16,1/30/2018,2018,1,34,3,BT,I,1,BTI1,control,N_NA,quadrat
7,16,1/30/2018,2018,1,11,3,BT,I,1,BTI1,control,N_NA,quadrat
8,16,1/30/2018,2018,1,70,3,BT,I,1,BTI1,control,N_NA,quadrat
9,16,1/30/2018,2018,1,42,3,BT,I,1,BTI1,control,N_NA,quadrat
10,16,1/30/2018,2018,1,60,3,BT,I,1,BTI1,control,N_NA,quadrat
11,18,12/8/2018,2018,12,21,3,BT,I,1,BTI1,control,N_NA,transect
12,16,1/30/2018,2018,1,51,3,BT,I,1,BTI1,control,N_NA,quadrat
13,16,1/30/2018,2018,1,89,3,BT,I,1,BTI1,control,N_NA,quadrat
14,16,1/30/2018,2018,1,44,3,BT,I,1,BTI1,control,N_NA,quadrat
15,16,1/30/2018,2018,1,43,3,BT,I,1,BTI1,control,N_NA,quadrat
16,16,1/30/2018,2018,1,23,3,BT,I,1,BTI1,control,N_NA,quadrat
17,16,1/30/2018,2018,1,78,3,BT,I,1,BTI1,control,N_NA,quadrat
18,18,12/8/2018,2018,12,20,3,BT,I,1,BTI1,control,N_NA,transect
19,16,1/30/2018,2018,1,27,3,BT,I,1,BTI1,control,N_NA,quadrat
20,16,1/30/2018,2018,1,21,3,BT,I,1,BTI1,control,N_NA,quadrat
21,16,1/30/2018,2018,1,63,3,BT,I,1,BTI1,control,N_NA,quadrat
22,16,1/30/2018,2018,1,17,3,BT,I,1,BTI1,control,N_NA,quadrat
23,16,1/30/2018,2018,1,60,3,BT,I,1,BTI1,control,N_NA,quadrat
24,16,1/30/2018,2018,1,33,3,BT,I,1,BTI1,control,N_NA,quadrat
25,18,12/8/2018,2018,12,20,3,BT,I,1,BTI1,control,N_NA,transect
26,16,1/30/2018,2018,1,24,3,BT,I,1,BTI1,control,N_NA,quadrat
27,16,1/30/2018,2018,1,21,3,BT,I,1,BTI1,control,N_NA,quadrat
28,16,1/30/2018,2018,1,44,3,BT,I,1,BTI1,control,N_NA,quadrat
29,16,1/30/2018,2018,1,62,3,BT,I,1,BTI1,control,N_NA,quadrat
30,16,1/30/2018,2018,1,84,3,BT,I,1,BTI1,control,N_NA,quadrat
31,16,1/30/2018,2018,1,87,3,BT,I,1,BTI1,control,N_NA,quadrat
32,16,1/30/2018,2018,1,71,3,BT,I,1,BTI1,control,N_NA,quadrat
33,16,1/30/2018,2018,1,32,3,BT,I,1,BTI1,control,N_NA,quadrat
34,18,12/8/2018,2018,12,12,3,BT,I,1,BTI1,control,N_NA,transect
35,16,1/30/2018,2018,1,56,3,BT,I,1,BTI1,control,N_NA,quadrat
36,16,1/30/2018,2018,1,18,3,BT,I,1,BTI1,control,N_NA,quadrat
37,16,1/30/2018,2018,1,52,3,BT,I,1,BTI1,control,N_NA,quadrat
38,16,1/30/2018,2018,1,53,3,BT,I,1,BTI1,control,N_NA,quadrat
39,16,1/30/2018,2018,1,14,3,BT,I,1,BTI1,control,N_NA,quadrat
40,16,1/30/2018,2018,1,63,3,BT,I,1,BTI1,control,N_NA,quadrat
41,16,1/30/2018,2018,1,32,3,BT,I,1,BTI1,control,N_NA,quadrat
42,16,1/30/2018,2018,1,58,3,BT,I,1,BTI1,control,N_NA,quadrat
43,16,1/30/2018,2018,1,44,3,BT,I,1,BTI1,control,N_NA,quadrat
44,16,1/30/2018,2018,1,56,3,BT,I,1,BTI1,control,N_NA,quadrat
45,16,1/30/2018,2018,1,0,3,BT,I,1,BTI1,control,N_NA,quadrat
46,16,1/30/2018,2018,1,79,3,BT,I,1,BTI1,control,N_NA,quadrat
47,16,1/30/2018,2018,1,56,3,BT,I,1,BTI1,control,N_NA,quadrat
48,16,1/30/2018,2018,1,13,3,BT,I,1,BTI1,control,N_NA,quadrat
49,16,1/30/2018,2018,1,45,3,BT,I,1,BTI1,control,N_NA,quadrat
50,18,12/8/2018,2018,12,24,3,BT,I,1,BTI1,control,N_NA,transect
51,16,1/30/2018,2018,1,48,3,BT,I,1,BTI1,control,N_NA,quadrat
52,18,12/8/2018,2018,12,23,3,BT,I,1,BTI1,control,N_NA,transect
53,18,12/8/2018,2018,12,23,3,BT,I,1,BTI1,control,N_NA,transect
54,16,1/30/2018,2018,1,61,3,BT,I,1,BTI1,control,N_NA,quadrat
55,18,12/8/2018,2018,12,16,3,BT,I,1,BTI1,control,N_NA,transect
56,18,12/8/2018,2018,12,12,3,BT,I,1,BTI1,control,N_NA,transect
57,16,1/30/2018,2018,1,0,3,BT,I,1,BTI1,control,N_NA,quadrat
58,16,1/30/2018,2018,1,43,3,BT,I,1,BTI1,control,N_NA,quadrat
59,16,1/30/2018,2018,1,16,3,BT,I,1,BTI1,control,N_NA,quadrat
60,16,1/30/2018,2018,1,28,3,BT,I,1,BTI1,control,N_NA,quadrat
61,16,1/30/2018,2018,1,86,3,BT,I,1,BTI1,control,N_NA,quadrat
62,16,1/30/2018,2018,1,68,3,BT,I,2,BTI2,control,N_NA,quadrat
63,18,12/7/2018,2018,12,20,3,BT,I,2,BTI2,control,N_NA,transect
64,18,12/7/2018,2018,12,20,3,BT,I,2,BTI2,control,N_NA,transect
65,16,1/30/2018,2018,1,98,3,BT,I,2,BTI2,control,N_NA,quadrat
66,16,1/30/2018,2018,1,23,3,BT,I,2,BTI2,control,N_NA,quadrat
67,16,1/30/2018,2018,1,18,3,BT,I,2,BTI2,control,N_NA,quadrat
68,16,1/30/2018,2018,1,68,3,BT,I,2,BTI2,control,N_NA,quadrat
69,18,12/7/2018,2018,12,42,3,BT,I,2,BTI2,control,N_NA,transect
70,16,1/30/2018,2018,1,85,3,BT,I,2,BTI2,control,N_NA,quadrat
71,18,12/7/2018,2018,12,19,3,BT,I,2,BTI2,control,N_NA,transect
72,18,12/7/2018,2018,12,95,3,BT,I,2,BTI2,control,N_NA,transect
73,18,12/7/2018,2018,12,14,3,BT,I,2,BTI2,control,N_NA,transect
